Gene,Phecode,RareGPS,Indication,Max phase,Indicated mechanism,Indicated drugs,Druggable gene,DrugnomeAI,Predicted mechanism,Activators,Inhibitors,Other drugs
VPS35,GE_972.2 [Hereditary ataxia],0.088,0,0.0,,,0,0.001,Activation,,,
NPHS1,GU_580.52 [Diffuse membranous glomerulonephritis],0.088,0,0.0,,,1,0.281,Activation,,,
NFKB1,CV_438.41 [Aortic dissection],0.088,0,0.0,,,1,0.204,,,edasalonexent,
STS,GE_977.1 [Congenital ichthyosis],0.088,0,0.0,,,1,0.895,Activation,,irosustat,
CD5,BI_179.1 [Hypogammaglobulinemia NOS],0.088,0,0.0,,,1,0.299,,,,"telimomab aritox, zolimomab aritox"
GCNT2,CM_751.213 [Congenital cataract],0.088,0,0.0,,,0,0.001,Activation,,,
GRIA3,CM_770.5 [Congenital osteodystrophies],0.088,0,0.0,,,1,1.0,,"cx1739, farampator, mibampator, mk-8777, osavampator, pesampator","becampanel, dasolampanel, irampanel, perampanel, selurampanel, tezampanel, tezampanel anhydrous, topiramate, zonampanel",
SCN11A,NS_323.3 [Motor neuron disease],0.088,1,4.0,Inhibition,"lacosamide (I), mexiletine (IV), quinidine (III), riluzole (IV)",1,0.971,,,"afacifenacin, articaine, benoxinate, carbamazepine, cenobamate, chloroprocaine, cocaine, dichlorobenzyl, disopyramide, dronedarone, dyclonine, encainide, eslicarbazepine, ethotoin, etidocaine, evenamide, fosphenytoin, hexylcaine, indecainide, irampanel, lacosamide, lamotrigine, lidocaine, mephenytoin, mepivacaine, merethoxylline procaine, mexiletine, moricizine, nerispirdine, nktr-171, orphenadrine, oxcarbazepine, phenacemide, phenazopyridine, phenytoin, prilocaine, primidone, procainamide, procaine, propafenone, proparacaine, propoxycaine, quinidine, quinidine gluconate, quinidine polygalacturonate, ralfinamide, riluzole, ropivacaine, rufinamide, tetracaine, tocainide, topiramate, zonisamide",
MMEL1,GI_542.8 [Biliary cirrhosis],0.088,0,0.0,,,0,0.002,,,,
BBS10,SO_386.6 [Night blindness],0.088,0,0.0,,,0,0.003,,,,
ACTN2,CV_414.1 [Hypertrophic cardiomyopathy],0.088,0,0.0,,,0,0.096,,,,
NRG1,GE_972.2 [Hereditary ataxia],0.088,0,0.0,,,1,0.359,,,,
BRCA2,CM_763.13 [Patent ductus arteriosus],0.088,0,0.0,,,1,0.01,,,,
IFT81,SO_386.6 [Night blindness],0.088,0,0.0,,,0,0.001,,,,
RPSA,SO_386.6 [Night blindness],0.088,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
ETS1,MS_727.5 [Cyst of bone],0.088,0,0.0,,,0,0.017,,,,
RPS26,EM_209.4 [Diabetes insipidus],0.088,0,0.0,,,1,0.001,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
OLFM1,MB_305.1 [Tics and tic disorders],0.088,0,0.0,,,0,0.001,,,,
UROD,GE_966.2 [Disorders of porphyrin metabolism],0.088,0,0.0,,,0,0.031,Activation,,,
VEGFA,MS_704.2 [Wegener's granulomatosis],0.088,0,0.0,,,1,0.978,,,"abicipar, aflibercept, bevacizumab, brolucizumab, conbercept, faricimab, muparfostat, pegaptanib, ranibizumab, vanucizumab","bevacizumab 111in, bevasiranib"
FOXRED1,NS_341.1 [Cerebral palsy],0.088,0,0.0,,,0,0.005,,,,
GRM5,GE_961.1 [Phakomatoses],0.088,1,2.0,Other or unknown,basimglurant (II),1,0.986,,,"acamprosate, azd2516, dasolampanel etibutil, mavoglurant, stx107","azd2066, basimglurant, dipraglurant, raseglurant, rg7342"
SLC6A3,MB_287.2 [Schizoaffective disorder],0.088,1,4.0,Inhibition,"armodafinil (IV), bupropion (IV), modafinil (IV), sibutramine (IV)",1,0.999,,,"amitifadine, amphetamine, amphetamine adipate, armodafinil, bicifadine, bupropion, centanafadine, dasotraline, dexmethylphenidate, dextroamphetamine, dextroamphetamine adipate, dextroamphetamine saccharate, diethylpropion, liafensine, lisdexamfetamine, mazindol, methamphetamine, methylphenidate, modafinil, nomifensine, ns-2359, phendimetrazine, phenmetrazine, pyrovalerone, serdexmethylphenidate, sibutramine, tedatioxetine, tesofensine",
CADM1,MB_293.1 [Anorexia nervosa],0.088,0,0.0,,,0,0.021,,,,
APP,CV_433.3 [Cerebrovascular insufficiency],0.088,1,2.0,Other or unknown,unknown,1,0.902,,,"crenezumab, lecanemab","aducanumab, amilomotide, bapineuzumab, donanemab, florbetaben f-18, gantenerumab, gsk933776, ponezumab, solanezumab, tramiprosate, valiltramiprosate, vanutide cridificar"
RPL27A,MB_302.1 [Speech and language developmental delay],0.088,0,0.0,,,1,0.001,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
GLRX5,GE_963.1 [Lipid storage disorders],0.088,0,0.0,,,0,0.0,,,,
HTT,NS_323.3 [Motor neuron disease],0.088,0,0.0,,,1,0.904,,,tominersen,
ANKS1B,GE_963.1 [Lipid storage disorders],0.088,0,0.0,,,0,0.009,,,,
DNMT3A,GI_516.1 [Pyloric stenosis],0.088,0,0.0,,,1,0.945,,,"azacitidine, decitabine",
ERCC2,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.088,0,0.0,,,0,0.003,,,,
CYP4V2,SO_369.62 [Keratoconus],0.088,0,0.0,,,1,0.11,,,,
GATA2,GE_961.1 [Phakomatoses],0.088,0,0.0,,,0,0.004,,,,
NR1H4,GE_966.2 [Disorders of porphyrin metabolism],0.088,0,0.0,,,1,0.998,Activation,"chenodiol, cilofexor, nidufexor, obeticholic acid, px-102, tern-101, tropifexor, turofexorate, ursodiol",,
HNRNPC,NS_333.4 [Circadian rhythm sleep disorder],0.088,0,0.0,,,0,0.003,,,,
DDAH1,CV_414.1 [Hypertrophic cardiomyopathy],0.088,0,0.0,,,1,0.203,Activation,,,
IL1B,SO_369.62 [Keratoconus],0.088,0,0.0,,,1,0.982,,,"canakinumab, cdp-484, gevokizumab, lutikizumab, rilonacept",
GRN,CM_770.5 [Congenital osteodystrophies],0.088,0,0.0,,,1,0.01,,,,
PRNP,GE_972.2 [Hereditary ataxia],0.088,0,0.0,,,1,0.033,Activation,,,
MMP13,CV_438.41 [Aortic dissection],0.088,0,0.0,,,1,0.98,,,"apratastat, cts-1027, doxycycline, doxycycline anhydrous, doxycycline hyclate, rebimastat",
CEP120,GE_972.2 [Hereditary ataxia],0.088,0,0.0,,,0,0.0,,,,
CFI,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.088,0,0.0,,,1,0.012,,,,
HK1,GE_972.9 [Muscular dystrophy],0.088,0,0.0,,,0,0.02,,,,
MYH2,NS_340.3 [Inflammatory and immune myopathies],0.088,0,0.0,,,0,0.031,Activation,,,
SMAD7,MS_700.3 [Systemic sclerosis],0.088,0,0.0,,,1,0.012,,,mongersen,
HMGCR,GE_972.2 [Hereditary ataxia],0.088,1,0.5,Inhibition,rosuvastatin (preclinical),1,0.998,,,"atorvastatin, cerivastatin, fluvastatin, lovastatin, pitavastatin, pravastatin, rosuvastatin, simvastatin",
PLCE1,GU_580.1 [Acute nephritic syndrome],0.088,0,0.0,,,0,0.09,,,,
NFE2L2,GE_976.5 [Polycystic kidney disease],0.088,1,3.0,Inhibition,bardoxolone methyl (III),1,0.196,,omaveloxolone,bardoxolone methyl,
REEP1,NS_341.1 [Cerebral palsy],0.088,0,0.0,,,0,0.0,Activation,,,
F9,GE_972.9 [Muscular dystrophy],0.088,0,0.0,,,1,0.986,,,pegnivacogin,"albutrepenonacog, coagulation factor ix, eftrenonacog, emicizumab, etranacogene dezaparvovec, fidanacogene elaparvovec, nonacog beta, trenonacog, valoctocogene roxaparvovec"
SPIN1,CM_751.213 [Congenital cataract],0.088,0,0.0,,,0,0.0,,,,
RPL32,GE_972.9 [Muscular dystrophy],0.088,1,4.0,Other or unknown,ataluren (IV),1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
IL12RB2,GU_580.1 [Acute nephritic syndrome],0.088,0,0.0,,,1,0.819,,,,
RAP1B,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.088,0,0.0,,,0,0.003,,,,
KITLG,NS_339.2 [Myotonic disorders],0.088,0,0.0,,,0,0.143,,,,
LCK,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.088,0,0.0,,,1,0.999,,,"dasatinib, enmd-981693, ilorasertib, jnj-26483327, pazopanib, tg100-801, xl-228",
ADAMTS13,GE_971.14 [Von Willebrand's disease],0.088,0,0.0,,,1,0.005,Activation,,,
IBA57,NS_341.1 [Cerebral palsy],0.088,0,0.0,,,0,0.0,,,,
REN,GU_580.51 [Focal and segmental glomerular lesions*],0.088,0,0.0,,,1,0.998,Activation,,"aliskiren, imarikiren, sph-3127",
LRIT3,SO_386.6 [Night blindness],0.088,0,0.0,,,0,0.0,Activation,,,
NFE2L2,GE_966.2 [Disorders of porphyrin metabolism],0.088,0,0.0,,,1,0.196,Activation,omaveloxolone,bardoxolone methyl,
AGT,CM_772.1 [Congenital malformations of endocrine glands],0.088,0,0.0,,,1,0.508,Activation,,,gsk-2586881
POGLUT1,GI_542.8 [Biliary cirrhosis],0.088,0,0.0,,,0,0.002,Inhibition,,,
SYNGAP1,MB_302.1 [Speech and language developmental delay],0.088,0,0.0,,,1,0.015,Activation,,,
GFRA1,GE_963.1 [Lipid storage disorders],0.087,0,0.0,,,1,0.217,,liatermin,,
SCN5A,MB_306 [Conduct disorders],0.087,1,4.0,Inhibition,"lamotrigine (I), oxcarbazepine (IV)",1,0.999,,,"articaine, azd1305, azd7009, benoxinate, carbamazepine, cenobamate, chloroprocaine, cocaine, dibucaine, dichlorobenzyl, disopyramide, dronedarone, dyclonine, encainide, eslicarbazepine, ethotoin, etidocaine, evenamide, flecainide, fosphenytoin, hexylcaine, indecainide, irampanel, lacosamide, lamotrigine, lidocaine, mephenytoin, mepivacaine, merethoxylline procaine, mexiletine, moricizine, nerispirdine, nktr-171, orphenadrine, oxcarbazepine, phenacemide, phenazopyridine, phenytoin, prenylamine, prilocaine, primidone, procainamide, procaine, propafenone, proparacaine, propoxycaine, quinidine, quinidine gluconate, quinidine polygalacturonate, ralfinamide, ranolazine, riluzole, ropivacaine, rufinamide, tetracaine, tocainide, topiramate, vernakalant, zonisamide",
EBF3,GE_972.2 [Hereditary ataxia],0.087,0,0.0,,,0,0.001,,,,
EYA1,GU_580.51 [Focal and segmental glomerular lesions*],0.087,0,0.0,,,0,0.001,,,,
NDUFS7,GE_972.2 [Hereditary ataxia],0.087,1,4.0,Inhibition,metformin (IV),1,0.997,,,"me-344, metformin, nv-128",
TMEM67,GU_580.1 [Acute nephritic syndrome],0.087,0,0.0,,,0,0.003,Activation,,,
CAPN3,NS_340.3 [Inflammatory and immune myopathies],0.087,0,0.0,,,0,0.007,Activation,,,
PRKCA,GI_540.11 [Autoimmune hepatitis],0.087,0,0.0,,,1,0.987,,,"aprinocarsen, cep-2563, gsk-690693, midostaurin, sotrastaurin, tamoxifen, ucn-01",
CBL,GE_977.6 [Congenital cutaneous mastocytosis*],0.087,0,0.0,,,1,0.302,,,,
UBE2M,CM_770.5 [Congenital osteodystrophies],0.087,0,0.0,,,0,0.001,,,,
SLC6A4,MS_712.51 [Hypermobility syndrome],0.087,0,0.0,,,1,0.998,,,"amitifadine, amitriptyline, amoxapine, bicifadine, centanafadine, citalopram, clomipramine, dapoxetine, dasotraline, desvenlafaxine, dothiepin, duloxetine, escitalopram, escitalopram oxalate, faxeladol, fluoxetine, fluvoxamine, gsk163090, imipramine, indalpine, levomilnacipran, liafensine, lumateperone, mazindol, methamphetamine, milnacipran, nefazodone, nomifensine, nortriptyline, ns-2359, paroxetine, paroxetine hemihydrate, protriptyline, sertraline, sibutramine, tedatioxetine, tesofensine, trazodone, venlafaxine, vilazodone, vortioxetine",chlorphentermine
PDGFRB,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.087,1,2.0,Other or unknown,unknown,1,0.999,,becaplermin,"catequentinib, cdp-860, cediranib, cep-2563, cm-082, crenolanib, dasatinib, dovitinib, enmd-981693, famitinib, foretinib, ilorasertib, imatinib, ji-101, linifanib, masitinib, midostaurin, motesanib, nintedanib, nintedanib esylate, orantinib, pazopanib, pd-0166285, puquitinib, quizartinib, regorafenib, rg-1530, rinucumab, seralutinib, sorafenib, su-014813, sunitinib, tak-593, tandutinib, telatinib, tg100-801, tivozanib, vatalanib, x-82, xl-820, xl-999",
CALM2,BI_179.1 [Hypogammaglobulinemia NOS],0.087,0,0.0,,,0,,,,,
PMS1,NS_344.2 [Benign intracranial hypertension],0.087,0,0.0,,,0,0.001,,,,
PTPRD,NS_333.7 [Narcolepsy],0.087,0,0.0,,,0,0.056,,,,
MARCKS,NS_323.3 [Motor neuron disease],0.087,0,0.0,,,1,0.01,,,bio-11006,
MT-ND5,SO_380.3 [Optic atrophy],0.087,0,0.0,,,1,0.999,Activation,,"me-344, metformin, nv-128",
IVD,NS_341.1 [Cerebral palsy],0.087,0,0.0,,,0,0.008,,,,
SRSF1,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.087,0,0.0,,,0,0.0,,,,
NLRP3,DE_666.3 [Urticaria due to cold and heat],0.087,0,0.0,,,1,0.558,Inhibition,,dapansutrile,
ARNT,GE_961.1 [Phakomatoses],0.087,0,0.0,,,1,0.168,,,,
KCNA2,GE_972.2 [Hereditary ataxia],0.087,1,2.0,Inhibition,dalfampridine (II),1,0.997,Activation,,"amifampridine, dalfampridine, guanidine, nerispirdine, tedisamil",
GANAB,GU_580.1 [Acute nephritic syndrome],0.087,0,0.0,,,1,0.0,Activation,,miglitol,
VWF,GE_972.2 [Hereditary ataxia],0.087,0,0.0,,,1,0.94,,,"caplacizumab, egaptivon","coagulation factor viii/von willebrand factor complex, von willebrand factor, vonicog"
CDH11,MS_727.5 [Cyst of bone],0.087,0,0.0,,,1,0.061,,,,
P4HA1,GU_580.1 [Acute nephritic syndrome],0.087,0,0.0,,,1,0.001,,,,
HNRNPC,EM_208.1 [Hypoparathyroidism],0.087,0,0.0,,,0,0.003,,,,
AFG3L2,GE_972.2 [Hereditary ataxia],0.087,0,0.0,,,0,0.002,Activation,,,
FKBP10,GE_978.3 [Osteochondrodysplasias],0.087,0,0.0,,,0,0.001,Activation,,,
THBS1,MS_712.51 [Hypermobility syndrome],0.087,0,0.0,,,1,0.437,,,,
NF1,NS_344.2 [Benign intracranial hypertension],0.087,0,0.0,,,0,0.052,,,,
NR3C1,MB_293.2 [Bulimia nervosa],0.087,0,0.0,,,1,0.998,,"alclometasone, amcinonide, beclomethasone, betamethasone, betamethasone phosphoric acid, budesonide, ciclesonide, clobetasol, clocortolone pivalate, cortisone, cortivazol, deflazacort, desonide, desoximetasone, dexamethasone, dexamethasone phosphoric acid, diflorasone, difluprednate, flumethasone pivalate, flunisolide, fluocinolone, fluocinonide, fluorometholone, fluprednisolone, flurandrenolide, fluticasone, fluticasone furoate, halcinonide, halobetasol, hydrocortamate, hydrocortisone, hydrocortisone anhydrous, hydrocortisone butyrate, hydrocortisone cypionate, hydrocortisone phosphoric acid, hydrocortisone probutate, loteprednol etabonate, mapracorat, medrysone, meprednisone, methylprednisolone, mometasone furoate, paramethasone, prednicarbate, prednisolone, prednisolone phosphoric acid, prednisolone tebutate, prednisone, rimexolone, triamcinolone, vamorolone","cort 108297, cyproterone, mifepristone, org-34517, relacorilant","abbv-3373, azd-5423, dagrocorat, fosdagrocorat, velsecorat"
RPL23,GE_972.9 [Muscular dystrophy],0.087,1,4.0,Other or unknown,ataluren (IV),1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
CACNA1C,NS_333.4 [Circadian rhythm sleep disorder],0.087,1,4.0,Other or unknown,"atagabalin (II), diltiazem (IV), gabapentin (III), pregabalin (III)",1,0.999,,,"amlodipine, azd1305, azelnidipine, barnidipine, benidipine, bepridil, cilnidipine, cinnarizine, clevidipine, diltiazem, dronedarone, elpetrigine, enflurane, felodipine, isradipine, lacidipine, lercanidipine, levamlodipine, manidipine 6300, nicardipine, nifedipine, nilvadipine, nimodipine, nisoldipine, nitrendipine, phenytoin, phloroglucinol, suloctidil, terodiline, topiramate, verapamil","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin"
THBD,MS_700.42 [Dermatomyositis],0.087,0,0.0,,,0,0.433,,,,
RPSA,GE_977.1 [Congenital ichthyosis],0.087,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
PSEN1,MB_302.1 [Speech and language developmental delay],0.087,0,0.0,,,1,0.932,,,"avagacestat, begacestat, nirogacestat, rg-4733, semagacestat",tarenflurbil
TEK,GE_972.2 [Hereditary ataxia],0.087,0,0.0,,,1,0.995,,,"altiratinib, ce-245677, cep-11981, foretinib, glesatinib, pexmetinib, regorafenib, vandetanib",
GATA1,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.087,0,0.0,,,0,0.006,Activation,,,
KLF10,CV_414.1 [Hypertrophic cardiomyopathy],0.087,0,0.0,,,0,0.006,,,,
DAO,NS_323.3 [Motor neuron disease],0.087,0,0.0,,,1,0.217,,,,
EDNRA,CV_414.1 [Hypertrophic cardiomyopathy],0.087,0,0.0,,,1,0.999,,,"ambrisentan, aprocitentan, atrasentan, avosentan, bosentan, bq-123, clazosentan, darusentan, enrasentan, macitentan, nebentan, sitaxentan, sparsentan, tezosentan, zibotentan",
MEIS2,CM_763.31 [Ventricular septal defect],0.087,0,0.0,,,0,0.003,,,,
NTN1,CV_433.3 [Cerebrovascular insufficiency],0.087,0,0.0,,,1,0.031,,,,
BRD1,MB_306 [Conduct disorders],0.087,0,0.0,,,1,0.086,,,,
FOXO6,CM_770.5 [Congenital osteodystrophies],0.087,0,0.0,,,0,0.0,,,,
UBASH3B,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.087,0,0.0,,,0,0.003,,,,
MATR3,NS_323.3 [Motor neuron disease],0.087,0,0.0,,,0,0.002,,,,
NDUFS4,SO_380.3 [Optic atrophy],0.087,0,0.0,,,1,0.999,Activation,,"me-344, metformin, nv-128",
PAX5,GE_977.6 [Congenital cutaneous mastocytosis*],0.087,0,0.0,,,0,0.014,,,,
TP53,MS_712.51 [Hypermobility syndrome],0.087,0,0.0,,,1,0.826,,,"apg115, cenersen, idasanutlin, navtemadlin, siremadlin","contusugene ladenovec, eprenetapopt, teprasiran"
CDKN2B,CV_433.3 [Cerebrovascular insufficiency],0.087,0,0.0,,,0,0.117,,,,
FANCI,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.087,0,0.0,,,0,0.002,Activation,,,
TFAP2B,GE_961.1 [Phakomatoses],0.087,0,0.0,,,0,0.003,,,,
SRSF4,CV_414.1 [Hypertrophic cardiomyopathy],0.087,0,0.0,,,0,0.0,,,,
CCNF,NS_323.3 [Motor neuron disease],0.087,0,0.0,,,0,0.0,,,,
NR3C1,MS_712.51 [Hypermobility syndrome],0.087,0,0.0,,,1,0.998,,"alclometasone, amcinonide, beclomethasone, betamethasone, betamethasone phosphoric acid, budesonide, ciclesonide, clobetasol, clocortolone pivalate, cortisone, cortivazol, deflazacort, desonide, desoximetasone, dexamethasone, dexamethasone phosphoric acid, diflorasone, difluprednate, flumethasone pivalate, flunisolide, fluocinolone, fluocinonide, fluorometholone, fluprednisolone, flurandrenolide, fluticasone, fluticasone furoate, halcinonide, halobetasol, hydrocortamate, hydrocortisone, hydrocortisone anhydrous, hydrocortisone butyrate, hydrocortisone cypionate, hydrocortisone phosphoric acid, hydrocortisone probutate, loteprednol etabonate, mapracorat, medrysone, meprednisone, methylprednisolone, mometasone furoate, paramethasone, prednicarbate, prednisolone, prednisolone phosphoric acid, prednisolone tebutate, prednisone, rimexolone, triamcinolone, vamorolone","cort 108297, cyproterone, mifepristone, org-34517, relacorilant","abbv-3373, azd-5423, dagrocorat, fosdagrocorat, velsecorat"
PHKA1,GE_972.9 [Muscular dystrophy],0.087,0,0.0,,,0,0.003,,,,
SRC,GE_972.2 [Hereditary ataxia],0.087,0,0.0,,,1,0.995,Activation,,"azd-0424, azm-475271, bosutinib, dasatinib, enmd-981693, ilorasertib, jnj-26483327, pd-0166285, saracatinib, tg100-801, tirbanibulin, vandetanib, xl-228",
SYK,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.087,1,3.0,Inhibition,"fostamatinib (III), sovleplenib (III)",1,0.995,,,"cerdulatinib, entospletinib, fostamatinib, gusacitinib, lanraplenib, mivavotinib, prt-2607, r-112, r-333, r-343, r-348, r-406, sovleplenib",
ANK2,CV_414.1 [Hypertrophic cardiomyopathy],0.087,0,0.0,,,0,0.01,Activation,,,
SPTLC1,NS_323.3 [Motor neuron disease],0.087,0,0.0,,,0,0.002,,,,
GRIA2,NS_341.1 [Cerebral palsy],0.087,1,4.0,Inhibition,"selurampanel (II), topiramate (IV)",1,1.0,,"cx1739, farampator, mibampator, mk-8777, osavampator, pesampator","becampanel, dasolampanel, irampanel, perampanel, selurampanel, talampanel, tezampanel, tezampanel anhydrous, topiramate, zonampanel",
TYK2,MS_700.3 [Systemic sclerosis],0.087,1,2.0,Inhibition,tofacitinib (II),1,0.988,,,"brepocitinib, cerdulatinib, cravacitinib, delgocitinib, deucravacitinib, filgotinib, gusacitinib, izencitinib, nezulcitinib, peficitinib, ropsacitinib, ruxolitinib, tofacitinib, upadacitinib, upadacitinib hemihydrate",
AGFG1,GE_974.3 [Hereditary choroidal dystrophies],0.087,0,0.0,,,0,0.001,,,,
MTOR,GE_966.2 [Disorders of porphyrin metabolism],0.087,0,0.0,,,1,0.937,,indoximod,"apitolisib, azd-8055, bgt-226, cc-115, dactolisib, ds-3078a, ds-7423, gedatolisib, omipalisib, onatasertib, osi-027, palomid-529, panulisib, perhexiline, pf-04691502, pki-179, pwt-33579, pwt-33587, rg-7603, ridaforolimus, samotolisib, sapanisertib, sf-1126, vistusertib, voxtalisib, vs-5584",pimecrolimus
NAMPT,GE_972.1 [Hereditary neuropathy],0.087,0,0.0,,,1,0.6,,,"daporinad, teglarinad",
IRF8,MS_700.3 [Systemic sclerosis],0.087,0,0.0,,,0,0.027,,,,
COL3A1,CV_433.3 [Cerebrovascular insufficiency],0.087,0,0.0,,,1,0.018,,,,"collagenase clostridium histolyticum, ocriplasmin"
RPS23,MB_302.1 [Speech and language developmental delay],0.086,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
TULP1,SO_369.62 [Keratoconus],0.086,0,0.0,,,0,0.001,,,,
IL2,GE_978.3 [Osteochondrodysplasias],0.086,0,0.0,,,1,0.516,Activation,,,
TSPAN5,MS_704.1 [Polyarteritis nodosa and related conditions],0.086,0,0.0,,,0,0.001,,,,
NDUFA4,NS_341.1 [Cerebral palsy],0.086,1,2.0,Inhibition,metformin (II),1,0.985,,,"me-344, metformin, nv-128",
HSPH1,MS_727.5 [Cyst of bone],0.086,0,0.0,,,0,0.003,,,,
COL11A1,GE_978.3 [Osteochondrodysplasias],0.086,0,0.0,,,1,0.004,Activation,,,"collagenase clostridium histolyticum, ocriplasmin"
BCL2L2-PABPN1,GE_972.9 [Muscular dystrophy],0.086,0,0.0,,,1,,,,"navitoclax, obatoclax",
SPINT4,NS_341.1 [Cerebral palsy],0.086,0,0.0,,,0,0.0,,,,
CLCN2,GE_963.1 [Lipid storage disorders],0.086,0,0.0,,,1,0.74,Activation,"cobiprostone, lubiprostone",,
SOX2,CV_414.1 [Hypertrophic cardiomyopathy],0.086,0,0.0,,,1,0.018,,,,
RPS23,CV_433.3 [Cerebrovascular insufficiency],0.086,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
SLC6A3,NS_328.13 [Frontotemporal dementia [FTD]],0.086,0,0.0,,,1,0.999,Activation,,"amitifadine, amphetamine, amphetamine adipate, armodafinil, bicifadine, bupropion, centanafadine, dasotraline, dexmethylphenidate, dextroamphetamine, dextroamphetamine adipate, dextroamphetamine saccharate, diethylpropion, liafensine, lisdexamfetamine, mazindol, methamphetamine, methylphenidate, modafinil, nomifensine, ns-2359, phendimetrazine, phenmetrazine, pyrovalerone, serdexmethylphenidate, sibutramine, tedatioxetine, tesofensine",
MTOR,MS_704.1 [Polyarteritis nodosa and related conditions],0.086,0,0.0,,,1,0.937,,indoximod,"apitolisib, azd-8055, bgt-226, cc-115, dactolisib, ds-3078a, ds-7423, gedatolisib, omipalisib, onatasertib, osi-027, palomid-529, panulisib, perhexiline, pf-04691502, pki-179, pwt-33579, pwt-33587, rg-7603, ridaforolimus, samotolisib, sapanisertib, sf-1126, vistusertib, voxtalisib, vs-5584",pimecrolimus
SLC6A3,MB_293.2 [Bulimia nervosa],0.086,1,4.0,Inhibition,lisdexamfetamine (IV),1,0.999,,,"amitifadine, amphetamine, amphetamine adipate, armodafinil, bicifadine, bupropion, centanafadine, dasotraline, dexmethylphenidate, dextroamphetamine, dextroamphetamine adipate, dextroamphetamine saccharate, diethylpropion, liafensine, lisdexamfetamine, mazindol, methamphetamine, methylphenidate, modafinil, nomifensine, ns-2359, phendimetrazine, phenmetrazine, pyrovalerone, serdexmethylphenidate, sibutramine, tedatioxetine, tesofensine",
TRIP11,CM_770.5 [Congenital osteodystrophies],0.086,0,0.0,,,0,0.021,Activation,,,
SLITRK1,MB_298 [Impulse disorders],0.086,0,0.0,,,0,0.006,Activation,,,
RAB7A,GE_972.1 [Hereditary neuropathy],0.086,0,0.0,,,0,0.006,,,,
IRF4,MS_700.3 [Systemic sclerosis],0.086,0,0.0,,,1,0.061,,,,
COL5A1,GE_978.22 [Ehler's Danlos syndrome],0.086,0,0.0,,,1,0.006,Activation,,,"collagenase clostridium histolyticum, ocriplasmin"
SDHD,GE_961.1 [Phakomatoses],0.086,0,0.0,,,1,0.079,Activation,,hexachlorophene,
CDC73,GE_963.1 [Lipid storage disorders],0.086,0,0.0,,,0,0.0,,,,
DUOX2,CM_770.5 [Congenital osteodystrophies],0.086,0,0.0,,,0,0.094,Activation,,,
LMNA,GE_973.5 [Huntington's disease],0.086,0,0.0,,,1,0.018,,,,
COL4A3,GU_580.51 [Focal and segmental glomerular lesions*],0.086,0,0.0,,,1,0.004,Activation,,,"collagenase clostridium histolyticum, ocriplasmin"
FURIN,CV_433.3 [Cerebrovascular insufficiency],0.086,0,0.0,,,1,0.831,,,,
RPL15,CM_751.213 [Congenital cataract],0.086,0,0.0,,,1,0.001,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
IL1B,GE_970.1 [Sickle-cell disorders],0.086,1,2.0,Inhibition,canakinumab (II),1,0.982,,,"canakinumab, cdp-484, gevokizumab, lutikizumab, rilonacept",
MTOR,SO_380.3 [Optic atrophy],0.086,0,0.0,,,1,0.937,,indoximod,"apitolisib, azd-8055, bgt-226, cc-115, dactolisib, ds-3078a, ds-7423, gedatolisib, omipalisib, onatasertib, osi-027, palomid-529, panulisib, perhexiline, pf-04691502, pki-179, pwt-33579, pwt-33587, rg-7603, ridaforolimus, samotolisib, sapanisertib, sf-1126, vistusertib, voxtalisib, vs-5584",pimecrolimus
PRKCD,MS_700.3 [Systemic sclerosis],0.086,0,0.0,,,1,0.99,,,"cep-2563, delcasertib, gsk-690693, midostaurin, sotrastaurin, tamoxifen, ucn-01",
MED13L,MB_302.1 [Speech and language developmental delay],0.086,0,0.0,,,0,0.011,Activation,,,
