Gene,Phecode,RareGPS,Indication,Max phase,Gene expression,HGMD,Locus2gene,Mouse models,OTP clinical genetics,Text mining,Common variants,Rare variants,Rare variants (gene-level),Ultrarare variants (gene-level),Mantis-ML,Sources
NDUFA9,GE_963.1 [Lipid storage disorders],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.374,0.224,0.09,0.996,2
RDH5,SO_386.6 [Night blindness],0.083,0,0.0,0.0,0.893,0.0,0.0,0.543,0.093,2.014,1.204,0.326,0.131,1.0,4
COL2A1,GE_961.1 [Phakomatoses],0.083,0,0.0,0.0,0.0,0.0,0.29,0.0,0.038,1.657,2.653,0.246,0.262,0.939,4
CD247,MS_700.3 [Systemic sclerosis],0.083,0,0.0,0.0,0.0,0.625,0.0,0.0,0.229,1.901,3.357,0.825,0.055,,2
MT-ND6,SO_380.3 [Optic atrophy],0.083,0,0.0,0.0,0.0,0.0,0.0,0.838,0.125,,,,,,2
NDUFAF3,NS_341.1 [Cerebral palsy],0.083,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.795,0.178,0.063,0.975,2
LMNA,NS_323.3 [Motor neuron disease],0.083,0,0.0,0.0,0.654,0.0,0.0,0.0,0.029,1.645,1.968,0.281,0.221,0.726,4
FANCG,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.083,0,0.0,0.0,0.0,0.0,0.0,0.823,0.099,,3.051,0.111,2.57,,3
UFSP2,CM_770.5 [Congenital osteodystrophies],0.083,0,0.0,0.0,0.796,0.0,0.0,0.0,0.111,,0.142,0.278,0.128,0.666,3
MAOA,"MB_280.4 [Sedative, hypnotic, or anxiolytic related disorders]",0.083,1,4.0,0.0,0.0,0.0,0.0,0.0,0.146,2.704,3.866,0.087,0.072,,2
PANK2,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.083,0,0.0,0.0,0.0,0.0,0.0,0.889,0.097,1.977,0.198,0.269,0.147,0.144,4
RRM1,NS_323.3 [Motor neuron disease],0.083,1,2.0,0.0,0.0,0.0,0.0,0.0,0.018,2.934,2.385,0.1,0.166,0.25,3
POP1,CM_770.5 [Congenital osteodystrophies],0.083,0,0.0,0.0,0.745,0.0,0.0,0.0,0.024,1.905,2.227,0.306,0.167,0.156,4
FHL1,CV_414.1 [Hypertrophic cardiomyopathy],0.083,0,0.0,0.0,0.88,0.0,0.0,0.459,0.072,2.696,0.92,0.135,0.135,0.918,4
HMGCR,MS_712.51 [Hypermobility syndrome],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,1.725,1.124,0.056,0.255,,2
PPARG,MS_700.3 [Systemic sclerosis],0.083,1,2.0,0.0,0.0,0.0,0.0,0.0,0.87,1.907,0.138,0.151,0.146,,2
HNRNPC,SO_369.62 [Keratoconus],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108,0.078,,,0.252,2
MTOR,SO_386.5 [Color vision deficiencies],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,1.353,2.482,0.219,0.166,0.979,3
MFN2,CV_414.1 [Hypertrophic cardiomyopathy],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,2.876,2.869,0.55,0.274,0.989,3
FN1,BI_168.12 [Hemorrhagic disorder due to intrinsic circulating anticoagulants],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,2.34,4.796,2.342,0.418,,2
ACLY,GI_540.11 [Autoimmune hepatitis],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,,1.89,0.102,0.237,,2
GNAT1,SO_380.3 [Optic atrophy],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.773,0.316,1.55,0.954,2
BMP4,NS_323.3 [Motor neuron disease],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.285,1.156,0.447,0.177,0.188,3
MTOR,MB_302.1 [Speech and language developmental delay],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,2.696,2.749,1.922,0.254,0.992,3
FGFR3,GE_972.1 [Hereditary neuropathy],0.083,0,0.0,0.0,0.0,0.0,0.334,0.0,0.202,,2.783,0.361,0.318,,3
KITLG,DE_663.2 [Pemphigoid],0.083,0,0.0,0.0,0.0,0.0,0.354,0.0,0.077,2.267,0.156,0.126,2.217,,3
AGPS,GE_963.1 [Lipid storage disorders],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,1.468,0.191,0.047,2.106,0.367,3
CACNA1C,GE_978.21 [Marfan syndrome],0.083,1,4.0,0.0,0.0,0.0,0.0,0.0,0.271,2.627,2.936,1.877,0.156,,2
NRXN1,MB_302.1 [Speech and language developmental delay],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,3.371,2.945,0.409,0.202,0.977,3
GABRA2,GE_961.1 [Phakomatoses],0.083,1,3.0,0.0,0.0,0.0,0.0,0.0,0.012,2.474,1.905,,0.119,0.045,3
TERF2,CM_751.213 [Congenital cataract],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.451,,0.022,0.291,2
RPS23,GE_972.9 [Muscular dystrophy],0.083,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.047,,,0.275,2
JPH3,GE_972.2 [Hereditary ataxia],0.083,0,0.0,0.022,0.0,0.0,0.0,0.0,0.031,1.961,1.636,0.202,0.21,0.946,4
CYS1,GE_976.5 [Polycystic kidney disease],0.083,0,0.0,0.0,0.0,0.0,0.415,0.42,0.276,2.092,2.068,1.843,0.073,,4
RPL7,GE_972.9 [Muscular dystrophy],0.083,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.238,0.171,,,0.246,2
HIVEP3,GE_978.3 [Osteochondrodysplasias],0.083,0,0.0,0.0,0.0,0.0,0.389,0.0,0.087,2.819,3.44,1.154,0.723,,3
MTOR,CV_416.8 [Pre-excitation syndrome [Anomalous atrioventricular excitation]],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,2.358,3.268,0.418,0.285,0.991,3
YPEL5,CV_413.41 [Pulmonary valve stenosis],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474,0.022,,,0.218,2
RPS26,GE_977.1 [Congenital ichthyosis],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.044,0.028,,0.253,1
DSC2,CV_414.1 [Hypertrophic cardiomyopathy],0.083,0,0.0,0.0,0.802,0.0,0.554,0.147,0.012,,1.74,0.138,0.159,0.724,5
CPT1C,NS_341.1 [Cerebral palsy],0.083,0,0.0,0.0,0.801,0.0,0.0,0.161,0.029,,1.875,0.586,0.172,0.913,4
PEX19,SO_386.6 [Night blindness],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857,1.724,0.119,1.704,0.974,2
SYK,CM_770.5 [Congenital osteodystrophies],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,2.038,2.051,0.166,0.11,0.886,3
MKS1,SO_380.3 [Optic atrophy],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.108,0.347,0.17,0.978,1
SENP6,CV_433.3 [Cerebrovascular insufficiency],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,1.749,3.534,1.608,0.196,0.124,3
RPS29,NS_333.4 [Circadian rhythm sleep disorder],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.052,,,0.178,2
SDCCAG8,SO_369.62 [Keratoconus],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.636,1.801,0.307,0.214,0.974,2
KCNQ1,CV_414.1 [Hypertrophic cardiomyopathy],0.083,0,0.0,0.0,0.547,0.0,0.509,0.009,0.306,2.162,2.608,0.746,0.238,0.738,5
SCN2A,GE_972.9 [Muscular dystrophy],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.486,1.971,0.17,1.435,0.162,3
PRKCD,GE_978.3 [Osteochondrodysplasias],0.083,1,4.0,0.0,0.0,0.0,0.0,0.0,0.117,1.371,1.943,0.097,0.107,,2
THBS1,MS_700.3 [Systemic sclerosis],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,2.948,3.488,,0.098,,2
DDR2,MS_700.3 [Systemic sclerosis],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,,2.463,0.143,0.622,,2
USP11,SO_386.6 [Night blindness],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,,4.66,,0.088,0.083,3
NAMPT,GE_972.2 [Hereditary ataxia],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,2.508,1.003,0.075,0.102,0.429,3
NFASC,GE_972.2 [Hereditary ataxia],0.083,0,0.0,0.169,0.684,0.0,0.0,0.0,0.054,2.135,3.363,0.314,1.272,0.876,5
RBFOX2,NS_339.2 [Myotonic disorders],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,1.884,3.075,2.89,0.076,,2
COL4A1,GE_972.9 [Muscular dystrophy],0.083,0,0.0,0.028,0.547,0.0,0.328,0.0,0.023,2.259,3.407,0.212,0.197,0.938,6
TCAP,GE_972.9 [Muscular dystrophy],0.083,0,0.0,0.0,0.871,0.0,0.332,0.712,0.068,,2.592,0.052,0.045,0.988,5
TNFAIP8L2,GI_540.11 [Autoimmune hepatitis],0.083,0,0.0,0.0,0.0,0.0,0.3,0.0,0.316,,0.694,0.142,2.093,,3
SRSF1,EM_209.4 [Diabetes insipidus],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.372,0.045,,,0.28,2
SIAH1,CM_751.213 [Congenital cataract],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.078,,,0.206,1
SMARCA2,CV_414.1 [Hypertrophic cardiomyopathy],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,4.46,3.935,1.665,0.394,0.208,3
GUCA1A,SO_386.6 [Night blindness],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.919,4.223,0.154,0.056,0.999,2
RAN,GE_961.1 [Phakomatoses],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.071,,,0.214,1
VPS29,CM_763.13 [Patent ductus arteriosus],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.052,0.019,0.02,0.317,1
LPAR1,GI_542.8 [Biliary cirrhosis],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,3.03,2.457,2.387,0.194,,2
GNB3,SO_386.5 [Color vision deficiencies],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,,0.109,0.207,0.111,0.991,2
APC,GE_970.2 [Thalassemia],0.083,0,0.0,0.0,0.0,0.0,0.396,0.0,0.046,1.782,3.924,0.918,0.258,,3
LPAR1,GE_961.1 [Phakomatoses],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,2.603,0.11,0.064,0.144,0.324,3
RPL26,GU_580.1 [Acute nephritic syndrome],0.083,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.058,,,0.308,1
GRIN2B,MB_303.1 [Dyslexia and alexia],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,2.6,2.702,,,,2
SIAH1,CV_433.3 [Cerebrovascular insufficiency],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,2.633,0.064,,,0.183,3
ADCY1,SO_365.3 [Exophthalmos [Proptosis]],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,3.072,1.872,0.09,0.69,0.345,3
MYH9,GU_580.1 [Acute nephritic syndrome],0.083,0,0.0,0.0,0.88,0.0,0.0,0.163,0.212,,2.176,0.132,0.539,0.784,4
TRIM24,MS_719.2 [Muscle calcification and ossification],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,3.013,0.638,0.082,2.127,,2
CA8,GE_972.2 [Hereditary ataxia],0.083,0,0.0,0.059,0.828,0.0,0.357,0.818,0.055,2.201,3.092,0.101,0.089,0.851,6
GRIN2B,SO_386.5 [Color vision deficiencies],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,3.667,0.199,,,0.707,3
MLH1,NS_344.2 [Benign intracranial hypertension],0.083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.054,3.329,0.311,0.15,0.991,2
MARS2,GE_972.2 [Hereditary ataxia],0.083,0,0.0,0.0,0.772,0.0,0.0,0.802,0.096,,0.646,0.299,1.904,0.674,4
TNFRSF1A,SO_386.5 [Color vision deficiencies],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.155,0.04,0.013,0.286,1
TNF,GE_978.3 [Osteochondrodysplasias],0.082,0,0.0,0.0,0.0,0.0,0.306,0.0,0.115,,0.306,0.177,0.027,,2
UBE2M,NS_344.2 [Benign intracranial hypertension],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.168,0.024,,0.234,1
SUN2,GE_972.9 [Muscular dystrophy],0.082,0,0.0,0.0,0.772,0.0,0.0,0.211,0.095,1.703,1.662,0.298,0.112,0.913,4
ROCK2,MS_712.51 [Hypermobility syndrome],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,1.725,3.368,0.42,0.189,,2
SORCS1,EM_249.1 [Cerebral amyloid angiopathy*],0.082,0,0.0,0.0,0.0,0.0,0.278,0.0,0.103,3.481,0.66,0.19,0.155,,3
TEAD1,CV_433.3 [Cerebrovascular insufficiency],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.079,2.959,1.655,0.09,0.129,0.464,3
TULP1,NS_341.1 [Cerebral palsy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.803,0.204,0.137,0.98,2
RAN,CV_433.3 [Cerebrovascular insufficiency],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05,,,0.287,1
NAA30,CM_763.13 [Patent ductus arteriosus],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.076,0.019,0.021,0.251,1
OGA,MS_712.51 [Hypermobility syndrome],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,1.736,1.622,0.106,0.128,,2
PAX3,NS_344.11 [Communicating hydrocephalus],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.526,2.535,0.096,0.162,0.064,,2
WTAP,CV_414.1 [Hypertrophic cardiomyopathy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.657,0.453,,0.092,0.042,3
CD163,MS_700.43 [Polymyositis],0.082,0,0.0,0.018,0.0,0.0,0.0,0.0,0.447,1.333,4.524,0.096,0.092,,3
PRMT5,MS_700.3 [Systemic sclerosis],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.404,,2.33,0.191,0.161,,2
FOXO6,NS_333.4 [Circadian rhythm sleep disorder],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.562,2.966,,0.028,0.109,2
RPS29,EM_209.4 [Diabetes insipidus],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558,0.034,,,0.178,2
EDNRA,GE_976.5 [Polycystic kidney disease],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,2.317,0.453,0.103,0.168,,2
NLRP3,CV_433.3 [Cerebrovascular insufficiency],0.082,0,0.0,0.0,0.304,0.0,0.0,0.0,0.717,1.992,3.038,2.774,1.562,0.861,4
HIF1A,MS_700.3 [Systemic sclerosis],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.637,1.771,1.692,0.337,0.202,,2
BRCA1,BI_179.1 [Hypogammaglobulinemia NOS],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.883,2.343,0.305,0.213,0.981,2
COL1A2,GE_978.3 [Osteochondrodysplasias],0.082,0,0.0,0.0,0.0,0.0,0.372,0.673,0.092,1.913,2.704,1.011,5.63,,4
BSCL2,NS_323.3 [Motor neuron disease],0.082,0,0.0,0.0,0.644,0.0,0.0,0.725,0.063,3.639,2.155,0.167,0.141,0.758,4
CTSK,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.082,0,0.0,0.0,0.0,0.0,0.457,0.0,0.059,,2.442,0.177,0.184,,3
PKLR,GE_970.2 [Thalassemia],0.082,1,3.0,0.0,0.0,0.0,0.469,0.0,0.03,,1.56,0.38,0.45,,3
NRXN3,GE_973.5 [Huntington's disease],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,3.054,2.713,0.117,0.089,,2
MRTFA,CV_438.41 [Aortic dissection],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,1.595,2.742,0.202,0.273,,2
IGF1R,MS_704.1 [Polyarteritis nodosa and related conditions],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,2.331,1.61,0.239,0.182,,2
VEGFA,GE_964.3 [Glycogen storage disease],0.082,0,0.0,0.0,0.0,0.0,0.25,0.0,0.108,3.173,2.814,0.174,0.098,,3
RPS27A,CV_433.3 [Cerebrovascular insufficiency],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.078,0.013,0.021,0.312,1
BANF1,CM_751.213 [Congenital cataract],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164,0.075,,,0.262,2
DRD2,MB_296.1 [Paranoid personality disorder],0.082,1,4.0,0.0,0.0,0.0,0.0,0.0,0.189,1.898,0.219,0.112,0.054,,2
SLC6A4,MS_700.3 [Systemic sclerosis],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,,3.135,2.622,1.062,,2
CALR,CV_414.1 [Hypertrophic cardiomyopathy],0.082,0,0.0,0.0,0.0,0.0,0.34,0.0,0.204,,2.903,1.601,0.139,0.755,4
SIAH1,RE_484.1 [Spontaneous pneumothorax],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013,0.07,,,0.164,2
NR3C1,GE_970.1 [Sickle-cell disorders],0.082,1,3.0,0.0,0.0,0.0,0.0,0.0,0.103,3.017,2.606,0.049,0.092,,2
WDR27,NS_333.4 [Circadian rhythm sleep disorder],0.082,0,0.0,0.0,0.0,0.518,0.0,0.0,0.039,2.902,2.437,0.615,0.142,0.024,3
IGF2BP2,CV_414.1 [Hypertrophic cardiomyopathy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,1.607,1.887,0.192,0.257,0.222,3
STAT5A,GU_580.1 [Acute nephritic syndrome],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.843,2.502,0.394,0.148,0.95,3
FN1,CM_770.5 [Congenital osteodystrophies],0.082,0,0.0,0.0,0.836,0.0,0.0,0.0,0.053,1.778,3.473,0.392,0.145,0.965,4
CYLD,NS_328.13 [Frontotemporal dementia [FTD]],0.082,0,0.0,0.039,0.0,0.0,0.0,0.0,0.149,,0.135,0.115,0.151,,2
POLG2,GE_972.2 [Hereditary ataxia],0.082,0,0.0,0.0,0.547,0.0,0.0,0.197,0.092,,2.254,0.158,1.363,0.952,4
KL,CV_414.1 [Hypertrophic cardiomyopathy],0.082,0,0.0,0.0,0.0,0.0,0.427,0.0,0.102,2.587,2.932,1.582,0.422,0.134,4
HAS2,CV_414.1 [Hypertrophic cardiomyopathy],0.082,0,0.0,0.0,0.0,0.0,0.332,0.0,0.03,4.086,1.582,,0.114,0.273,4
NEFL,GE_972.1 [Hereditary neuropathy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.869,0.155,2.176,4.038,,0.109,,3
NCOA3,CV_433.3 [Cerebrovascular insufficiency],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.637,3.289,1.052,0.526,0.63,3
SLITRK1,MB_305.1 [Tics and tic disorders],0.082,0,0.0,0.0,0.0,0.0,0.0,0.502,0.12,2.161,0.24,0.079,0.062,,3
SH2B3,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.082,0,0.0,0.0,0.0,0.0,0.434,0.0,0.155,2.943,3.368,0.46,0.111,,3
NAB1,MS_700.3 [Systemic sclerosis],0.082,0,0.0,0.0,0.0,0.611,0.0,0.0,0.141,,2.673,0.22,0.132,,2
CD34,NS_344.2 [Benign intracranial hypertension],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.206,0.198,0.07,0.958,2
TUBB2B,CV_413.41 [Pulmonary valve stenosis],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.334,0.046,,,0.312,2
RAPGEF2,NS_323.3 [Motor neuron disease],0.082,0,0.0,0.0,0.547,0.0,0.0,0.0,0.061,1.821,2.981,0.51,0.308,0.137,4
UBE2E3,SO_380.3 [Optic atrophy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.078,,,0.242,2
COL4A1,GE_964.3 [Glycogen storage disease],0.082,0,0.0,0.0,0.0,0.0,0.367,0.0,0.061,2.954,1.942,0.393,0.255,,3
RPS23,RE_484.1 [Spontaneous pneumothorax],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.385,0.107,,,0.23,2
TMEM186,CV_414.1 [Hypertrophic cardiomyopathy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.548,1.932,0.52,1.145,0.962,2
GRIN2B,NS_339.2 [Myotonic disorders],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,2.927,0.16,,,,2
TGFBR1,RE_484.1 [Spontaneous pneumothorax],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,2.84,2.554,0.16,0.987,2
DCLK1,NS_323.3 [Motor neuron disease],0.082,0,0.0,0.166,0.0,0.0,0.0,0.0,0.03,3.442,2.851,0.272,0.224,0.327,4
CLU,GU_580.52 [Diffuse membranous glomerulonephritis],0.082,0,0.0,0.0,0.0,0.0,0.622,0.0,0.117,,0.704,0.113,0.099,,2
ADRA2C,CM_770.5 [Congenital osteodystrophies],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.916,0.91,,0.026,0.197,2
LPAR1,GE_978.3 [Osteochondrodysplasias],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,2.672,0.098,0.054,0.085,,2
CNTNAP1,GE_972.2 [Hereditary ataxia],0.082,0,0.0,0.064,0.0,0.0,0.463,0.0,0.042,,3.626,0.689,0.262,0.888,5
FBN2,CV_433.3 [Cerebrovascular insufficiency],0.082,0,0.0,0.0,0.547,0.0,0.0,0.281,0.0,2.195,3.401,0.182,0.414,0.926,3
LMX1B,GU_580.1 [Acute nephritic syndrome],0.082,0,0.0,0.0,0.859,0.0,0.0,0.161,0.067,2.896,0.394,0.113,0.119,0.615,4
GRIN2B,"MB_280.4 [Sedative, hypnotic, or anxiolytic related disorders]",0.082,1,4.0,0.0,0.0,0.0,0.0,0.0,0.038,2.982,3.531,,,,2
TBX1,EM_208.1 [Hypoparathyroidism],0.082,0,0.0,0.0,0.779,0.0,0.0,0.0,0.175,2.659,3.105,0.094,0.128,0.997,4
ZFYVE27,NS_341.1 [Cerebral palsy],0.082,0,0.0,0.0,0.789,0.0,0.0,0.21,0.05,,1.108,0.362,0.162,0.995,3
NRP1,CV_433.3 [Cerebrovascular insufficiency],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,2.552,2.676,0.761,0.243,0.959,3
SLC39A8,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,2.344,3.217,3.012,0.129,0.234,3
FGFR1,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,1.737,4.775,0.426,0.205,,2
HRH2,GI_516.1 [Pyloric stenosis],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.975,1.836,,0.108,0.171,3
C3orf38,NS_341.1 [Cerebral palsy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.295,0.329,0.089,0.999,2
RPL26,BI_179.1 [Hypogammaglobulinemia NOS],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.053,,,0.24,1
SEC61A1,NS_323.3 [Motor neuron disease],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,2.575,0.183,0.045,0.142,0.093,3
GRIN2A,NS_323.3 [Motor neuron disease],0.082,1,3.0,0.0,0.0,0.0,0.0,0.0,0.092,3.416,1.901,0.581,0.345,0.818,3
PEX3,NS_341.1 [Cerebral palsy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.384,0.228,0.103,0.985,1
KDR,GE_978.22 [Ehler's Danlos syndrome],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,3.29,2.596,0.335,0.139,,2
ANO1,GE_976.5 [Polycystic kidney disease],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,2.621,2.427,2.654,0.375,,2
FNIP1,BI_179.1 [Hypogammaglobulinemia NOS],0.082,0,0.0,0.0,0.745,0.0,0.0,0.452,0.109,1.822,1.894,,2.624,0.428,4
NPAS3,NS_323.3 [Motor neuron disease],0.082,0,0.0,0.0,0.0,0.0,0.263,0.0,0.012,3.422,4.702,1.872,0.315,0.084,4
NDUFB6,CV_414.1 [Hypertrophic cardiomyopathy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.084,1.339,0.141,0.953,2
NFE2L1,GU_580.1 [Acute nephritic syndrome],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,,2.404,0.333,0.173,0.297,3
MYOM1,CV_414.1 [Hypertrophic cardiomyopathy],0.082,0,0.0,0.0,0.86,0.0,0.0,0.208,0.139,2.104,3.07,0.538,0.321,0.902,4
SMAD3,MS_700.3 [Systemic sclerosis],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,2.381,0.138,0.067,0.113,,2
FGFR1,GE_978.22 [Ehler's Danlos syndrome],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,1.944,1.017,0.203,0.114,,2
TP53,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,1.846,0.128,0.077,2.3,,2
CNGA3,SO_380.3 [Optic atrophy],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.211,0.16,0.174,0.961,2
ENG,MS_712.51 [Hypermobility syndrome],0.082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,1.705,2.723,0.951,0.146,,2
GFAP,GE_972.2 [Hereditary ataxia],0.082,0,0.0,0.0,0.547,0.0,0.0,0.0,0.141,,3.302,0.153,0.164,0.987,4
NF1,CM_770.5 [Congenital osteodystrophies],0.082,0,0.0,0.0,0.0,0.0,0.396,0.0,0.058,1.956,2.564,0.306,0.315,0.904,4
HIKESHI,GE_963.1 [Lipid storage disorders],0.081,0,0.0,0.0,0.547,0.0,0.0,0.0,0.088,2.557,0.271,0.047,0.062,,3
FH,CV_414.1 [Hypertrophic cardiomyopathy],0.081,0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,1.386,2.437,0.321,0.269,0.942,3
ITGAM,MS_700.3 [Systemic sclerosis],0.081,0,0.0,0.0,0.0,0.371,0.0,0.0,0.204,,2.36,0.276,0.147,,2
B3GAT3,GE_978.3 [Osteochondrodysplasias],0.081,0,0.0,0.0,0.0,0.0,0.425,0.0,0.189,,3.71,3.422,0.082,,3
COL12A1,GE_978.22 [Ehler's Danlos syndrome],0.081,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,1.845,3.912,0.402,0.579,,2
WASL,NS_344.11 [Communicating hydrocephalus],0.081,0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,2.651,0.101,0.052,0.052,,2
